time_utc,gage_height_m,gage_height_ft
2019-02-24 00:00:00+00:00,4.49448636993723,14.745690661944863
2019-02-24 01:00:00+00:00,4.482788569278521,14.707312049631744
2019-02-24 02:00:00+00:00,4.471090768619812,14.668933437318623
2019-02-24 03:00:00+00:00,4.459392967961103,14.630554825005504
2019-02-24 04:00:00+00:00,4.447695167302393,14.592176212692383
2019-02-24 05:00:00+00:00,4.436108774269004,14.55416311097272
2019-02-24 06:00:00+00:00,4.424745196486258,14.516881030439976
2019-02-24 07:00:00+00:00,4.413381618703512,14.47959894990723
2019-02-24 08:00:00+00:00,4.4022408561714075,14.4430478905614
2019-02-24 09:00:00+00:00,4.391322908889945,14.407227852402487
2019-02-24 10:00:00+00:00,4.380627776859126,14.372138835430494
2019-02-24 11:00:00+00:00,4.370044052453626,14.337415329051955
2019-02-24 12:00:00+00:00,4.359794550924091,14.303788354453795
2019-02-24 13:00:00+00:00,4.349656457019876,14.270526890449089
2019-02-24 14:00:00+00:00,4.339852585991625,14.238361958224761
2019-02-24 15:00:00+00:00,4.330160122588694,14.206562536593891
2019-02-24 16:00:00+00:00,4.320579066811084,14.175128625556477
2019-02-24 17:00:00+00:00,4.311332233909438,14.14479124629944
2019-02-24 18:00:00+00:00,4.302196808633112,14.11481937763586
2019-02-24 19:00:00+00:00,4.293172790982108,14.085213019565737
2019-02-24 20:00:00+00:00,4.284371588581745,14.056337682682534
2019-02-24 21:00:00+00:00,4.275570386181383,14.027462345799329
2019-02-24 22:00:00+00:00,4.266978797731333,13.999274718748868
2019-02-24 23:00:00+00:00,4.257737483453545,13.96895544521373
2019-02-25 00:00:00+00:00,4.248733125952111,13.939413588948723
2019-02-25 01:00:00+00:00,4.239728768450676,13.909871732683715
2019-02-25 02:00:00+00:00,4.230842889337418,13.880718585053774
2019-02-25 03:00:00+00:00,4.221957010224161,13.851565437423835
2019-02-25 04:00:00+00:00,4.2131896094990795,13.82280099842896
2019-02-25 05:00:00+00:00,4.204422208773998,13.794036559434085
2019-02-25 06:00:00+00:00,4.1957732864370945,13.765660829074276
2019-02-25 07:00:00+00:00,4.1872428424883665,13.737673807349532
2019-02-25 08:00:00+00:00,4.178830876927816,13.710075494259856
2019-02-25 09:00:00+00:00,4.170418911367265,13.682477181170178
2019-02-25 10:00:00+00:00,4.162125424194891,13.655267576715566
2019-02-25 11:00:00+00:00,4.153950415410694,13.628446680896023
2019-02-25 12:00:00+00:00,4.1457754066264965,13.601625785076475
2019-02-25 13:00:00+00:00,4.137718876230476,13.575193597891996
2019-02-25 14:00:00+00:00,4.129662345834456,13.548761410707517
2019-02-25 15:00:00+00:00,4.121961250602966,13.523495349428234
2019-02-25 16:00:00+00:00,4.1146155905360065,13.49939541405415
2019-02-25 17:00:00+00:00,4.107862322409931,13.477239021855397
2019-02-25 18:00:00+00:00,4.102767751718329,13.460524550547564
2019-02-25 19:00:00+00:00,4.1001612271784404,13.451972960576114
2019-02-25 20:00:00+00:00,4.098265572967612,13.445753622415058
2019-02-25 21:00:00+00:00,4.09648839714496,13.439922992889072
2019-02-25 22:00:00+00:00,4.095422091651369,13.436424615173479
2019-02-25 23:00:00+00:00,4.0979101378030816,13.444587496509863
2019-02-26 00:00:00+00:00,4.104781884317334,13.467132597343682
2019-02-26 01:00:00+00:00,4.116748201523188,13.506392169485336
2019-02-26 02:00:00+00:00,4.140088443994012,13.582967770593314
2019-02-26 03:00:00+00:00,4.173143914295331,13.691417479776693
2019-02-26 04:00:00+00:00,4.21721787469709,13.8360170920212
2019-02-26 05:00:00+00:00,4.271782526920468,14.015034985621748
2019-02-26 06:00:00+00:00,4.335284873353461,14.22337602389297
2019-02-26 07:00:00+00:00,4.41638962458718,14.489467735930603
2019-02-26 08:00:00+00:00,4.520555754262355,14.831220140814104
2019-02-26 09:00:00+00:00,4.644121841515124,15.23662070251648
2019-02-26 10:00:00+00:00,4.7813362165642195,15.686799112752555
2019-02-26 11:00:00+00:00,4.946784934442399,16.229609884316
2019-02-26 12:00:00+00:00,5.166597926999102,16.950781142815732
2019-02-26 13:00:00+00:00,5.447575700526954,17.87262426131685
2019-02-26 14:00:00+00:00,5.769054167634329,18.92734367534141
2019-02-26 15:00:00+00:00,6.096101318652789,20.000333050288816
2019-02-26 16:00:00+00:00,6.3899994308413595,20.964565732681567
2019-02-26 17:00:00+00:00,6.629686848182039,21.75094179898956
2019-02-26 18:00:00+00:00,6.825242648042017,22.39252908940217
2019-02-26 19:00:00+00:00,7.008053675592887,22.992302821032165
2019-02-26 20:00:00+00:00,7.260544464443679,23.8206847007254
2019-02-26 21:00:00+00:00,7.647334423401204,25.089680669671605
2019-02-26 22:00:00+00:00,8.11621716549963,26.628009925257807
2019-02-26 23:00:00+00:00,8.56521769019041,28.101108806684305
2019-02-27 00:00:00+00:00,8.941623320464522,29.336035454712825
2019-02-27 01:00:00+00:00,9.31560780751966,30.5630187192228
2019-02-27 02:00:00+00:00,9.781571019016047,32.09176946202861
2019-02-27 03:00:00+00:00,10.365338836756159,34.00701826918308
2019-02-27 04:00:00+00:00,11.013837074539575,36.13463722763242
2019-02-27 05:00:00+00:00,11.719084943570566,38.448442646264056
2019-02-27 06:00:00+00:00,12.52330961019767,41.08697510152092
2019-02-27 07:00:00+00:00,13.495354893171811,44.276100147713805
2019-02-27 08:00:00+00:00,14.642572347818483,48.03993706161679
2019-02-27 09:00:00+00:00,15.83015080195402,51.936191957082826
2019-02-27 10:00:00+00:00,16.8266559432446,55.20556588483461
