time_utc,nwm_height_ft,nwm_height_m
2019-02-24 00:00:00+00:00,7.297827895841525,2.224377942652497
2019-02-24 01:00:00+00:00,7.2855872369421935,2.2206469898199805
2019-02-24 02:00:00+00:00,7.273346578042861,2.216916036987464
2019-02-24 03:00:00+00:00,7.264603250257624,2.214251070678524
2019-02-24 04:00:00+00:00,7.254111256915339,2.2110531111077956
2019-02-24 05:00:00+00:00,7.243619263573054,2.207855151537067
2019-02-24 06:00:00+00:00,7.236624601344864,2.2057231784899147
2019-02-24 07:00:00+00:00,7.229629939116674,2.203591205442762
2019-02-24 08:00:00+00:00,7.222635276888484,2.20145923239561
2019-02-24 09:00:00+00:00,7.217389280217342,2.1998602526102458
2019-02-24 10:00:00+00:00,7.210394617989152,2.1977282795630937
2019-02-24 11:00:00+00:00,7.203399955760962,2.195596306515941
2019-02-24 12:00:00+00:00,7.199902624646867,2.1945303199923654
2019-02-24 13:00:00+00:00,7.196405293532772,2.193464333468789
2019-02-24 14:00:00+00:00,7.191159296861629,2.1918653536834247
2019-02-24 15:00:00+00:00,7.187661965747535,2.1907993671598485
2019-02-24 16:00:00+00:00,7.182415969076392,2.1892003873744845
2019-02-24 17:00:00+00:00,7.178918637962298,2.1881344008509083
2019-02-24 18:00:00+00:00,7.175421306848202,2.187068414327332
2019-02-24 19:00:00+00:00,7.171923975734107,2.186002427803756
2019-02-24 20:00:00+00:00,7.17017531017706,2.185469434541968
2019-02-24 21:00:00+00:00,7.168426644620013,2.18493644128018
2019-02-24 22:00:00+00:00,7.166677979062966,2.1844034480183923
2019-02-24 23:00:00+00:00,7.164929313505918,2.183870454756604
2019-02-25 00:00:00+00:00,7.1596833168347755,2.1822714749712397
2019-02-25 01:00:00+00:00,7.157934651277728,2.1817384817094516
2019-02-25 02:00:00+00:00,7.157934651277728,2.1817384817094516
2019-02-25 03:00:00+00:00,7.1596833168347755,2.1822714749712397
2019-02-25 04:00:00+00:00,7.16318064794887,2.1833374614948156
2019-02-25 05:00:00+00:00,7.16318064794887,2.1833374614948156
2019-02-25 06:00:00+00:00,7.164929313505918,2.183870454756604
2019-02-25 07:00:00+00:00,7.166677979062966,2.1844034480183923
2019-02-25 08:00:00+00:00,7.17017531017706,2.185469434541968
2019-02-25 09:00:00+00:00,7.17716997240525,2.18760140758912
2019-02-25 10:00:00+00:00,7.185913300190487,2.1902663738980603
2019-02-25 11:00:00+00:00,7.192907962418677,2.192398346945213
2019-02-25 12:00:00+00:00,7.19815395908982,2.1939973267305772
2019-02-25 13:00:00+00:00,7.203399955760962,2.195596306515941
2019-02-25 14:00:00+00:00,7.2086459524321045,2.1971952863013056
2019-02-25 15:00:00+00:00,7.212143283546199,2.198261272824882
2019-02-25 16:00:00+00:00,7.2278812735596265,2.203058212180974
2019-02-25 17:00:00+00:00,7.327555210311332,2.2334388281028943
2019-02-25 18:00:00+00:00,7.654555669479208,2.3331085680572627
2019-02-25 19:00:00+00:00,8.26134261777468,2.518057229897723
2019-02-25 20:00:00+00:00,8.882118890526531,2.7072698378324866
2019-02-25 21:00:00+00:00,9.34026926647297,2.846914072420961
2019-02-25 22:00:00+00:00,9.635793745613991,2.9369899336631446
2019-02-25 23:00:00+00:00,10.015254171493291,3.052649471471155
2019-02-26 00:00:00+00:00,11.167096300408055,3.4037309523643753
2019-02-26 01:00:00+00:00,12.610856982308782,3.843789208207717
2019-02-26 02:00:00+00:00,14.643011616079024,4.463189940580887
2019-02-26 03:00:00+00:00,17.79574935818584,5.424144404375045
2019-02-26 04:00:00+00:00,20.609501928021565,6.281776187660974
2019-02-26 05:00:00+00:00,23.79561126739859,7.252902314303091
2019-02-26 06:00:00+00:00,26.642735434504523,8.120705760436978
2019-02-26 07:00:00+00:00,27.062515000166655,8.248654572050796
2019-02-26 08:00:00+00:00,28.465878485371867,8.676399762341346
2019-02-26 09:00:00+00:00,34.96807075349412,10.658267965665008
2019-02-26 10:00:00+00:00,41.02589385796565,12.50469244790793
2019-02-26 11:00:00+00:00,40.52531989891248,12.352117505188524
2019-02-26 12:00:00+00:00,40.748382680666,12.420107041066997
2019-02-26 13:00:00+00:00,43.15816328354653,13.154608168824982
2019-02-26 14:00:00+00:00,42.99833089662078,13.105891257290015
2019-02-26 15:00:00+00:00,40.37075671155571,12.30500664568218
2019-02-26 16:00:00+00:00,38.220923287411566,11.649737418003046
2019-02-26 17:00:00+00:00,40.68866508555088,12.40190511807591
2019-02-26 18:00:00+00:00,48.52,14.788896000000001
2019-02-26 19:00:00+00:00,48.52,14.788896000000001
2019-02-26 20:00:00+00:00,48.52,14.788896000000001
2019-02-26 21:00:00+00:00,48.52,14.788896000000001
2019-02-26 22:00:00+00:00,48.52,14.788896000000001
2019-02-26 23:00:00+00:00,48.52,14.788896000000001
2019-02-27 00:00:00+00:00,48.52,14.788896000000001
2019-02-27 01:00:00+00:00,48.52,14.788896000000001
2019-02-27 02:00:00+00:00,48.52,14.788896000000001
2019-02-27 03:00:00+00:00,48.52,14.788896000000001
2019-02-27 04:00:00+00:00,48.52,14.788896000000001
2019-02-27 05:00:00+00:00,48.52,14.788896000000001
2019-02-27 06:00:00+00:00,48.52,14.788896000000001
2019-02-27 07:00:00+00:00,48.52,14.788896000000001
2019-02-27 08:00:00+00:00,48.52,14.788896000000001
2019-02-27 09:00:00+00:00,48.52,14.788896000000001
2019-02-27 10:00:00+00:00,48.52,14.788896000000001
2019-02-27 11:00:00+00:00,48.52,14.788896000000001
2019-02-27 12:00:00+00:00,48.52,14.788896000000001
