wkt_geom,fid,STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
Point (-2278537.80697833048179746 2034243.1140593197196722),33,11466170,MATANZAS C A SANTA ROSA CA,Non-ref,WestXeric,56.016,18,38.4388,-122.70249,CA,,yes,0,0,0
Point (-2280452.71471097739413381 2034536.91577434726059437),34,11466200,SANTA ROSA C A SANTA ROSA CA,Non-ref,WestXeric,144.756,18,38.436579,-122.72471,CA,,yes,2,0,0
Point (-2287036.70797797152772546 2037446.6967735318467021),35,11466320,SANTA ROSA C A WILLOWSIDE RD NR SANTA ROSA CA,Non-ref,WestXeric,199.3878,18,38.44519,-122.807213,CA,,yes,10,10,10
Point (-2289337.76608856813982129 2043819.75386149995028973),36,11466800,MARK WEST C NR MIRABEL HEIGHTS CA,Non-ref,WestXeric,652.1787,18,38.494078,-122.853326,CA,,yes,3,3,3
Point (-2295061.48695164825767279 2047170.17849911190569401),37,11467000,RUSSIAN R NR GUERNEVILLE CA,Non-ref,WestXeric,3465.202,18,38.508523,-122.927774,CA,,yes,70,60,20
Point (-2306893.06167399557307363 2050398.03599691297858953),38,11467200,AUSTIN C NR CAZADERO CA,Ref,WestMnts,162.6129,18,38.50658,-123.069724,CA,,yes,13,13,6
Point EMPTY,39,11467500,SF GUALALA R NR ANNAPOLIS CA,Ref,WestMnts,417.5505,18,38.704912,-123.423064,CA,,,21,21,0
Point EMPTY,40,11467510,SF GUALALA R NR THE SEA RANCH CA,Non-ref,WestMnts,418.3695,18,38.709079,-123.426675,CA,,yes,2,2,2
Point EMPTY,41,11467600,GARCIA R NR POINT ARENA CA,Ref,WestMnts,254.0412,18,38.926296,-123.630293,CA,,,21,21,0
Point EMPTY,42,11468000,NAVARRO R NR NAVARRO CA,Ref,WestMnts,785.8926,18,39.172123,-123.669458,CA,,yes,58,58,19
Point EMPTY,43,11470500,EEL R BL SCOTT DAM NR POTTER VALLEY CA,Non-ref,WestMnts,750.2211,18,39.407939,-122.97139,CA,,yes,87,60,20
Point (-2282915.66030631214380264 2146375.44006696064025164),44,11471500,EEL R A VAN ARSDALE DAM NR POTTER VALLEY CA,Non-ref,WestMnts,904.2471,18,39.388496,-123.116116,CA,,yes,98,60,20
