filename,min_lat,max_lat,min_lon,max_lon,year,month,day
flood_WM_S1A_IW_GRDH_1SDV_20170831T001004_20170831T001029_018160_01E82D_9366.tif,28.726046835468544,30.644309293177372,-93.33057595277518,-90.40422408322742,2017,8,31
non_flood_WM1_S1A_IW_GRDH_1SDV_20170807T001003_20170807T001028_017810_01DD99_078C.tif,28.725819862928358,30.644082320637185,-93.33003421917566,-90.40377218115631,2017,8,7
non_flood_WM2_S1A_IW_GRDH_1SDV_20170819T001004_20170819T001029_017985_01E2E8_5C42.tif,28.725844657999172,30.644107115708,-93.33068289515516,-90.4043310256074,2017,8,19
non_flood_WM3_S1A_IW_GRDH_1SDV_20170912T001004_20170912T001029_018335_01EDA6_2AA9.tif,28.725974357706203,30.64423681541503,-93.3309421543135,-90.40459028476575,2017,9,12
non_flood_WM4_S1A_IW_GRDH_1SDV_20170924T001005_20170924T001030_018510_01F303_F9CE.tif,28.725968820670158,30.644141446850572,-93.33052248255979,-90.40408078148361,2017,9,24
flood_WM_S1A_IW_GRDH_1SDV_20190617T000326_20190617T000351_027712_0320C9_3AC6.tif,33.9799093446654,35.889188649533025,-92.48024118600485,-89.3795263198095,2019,6,17
non_flood_WM1_S1A_IW_GRDH_1SDV_20181113T000325_20181113T000350_024562_02B230_0AA0.tif,33.97975256476153,35.88921153268599,-92.48246880266703,-89.38130477882962,2018,11,13
non_flood_WM2_S1A_IW_GRDH_1SDV_20181125T000325_20181125T000350_024737_02B8A0_CF52.tif,33.97972032733451,35.889089463730556,-92.48133191607205,-89.38016789223464,2018,11,25
non_flood_WM3_S1A_IW_GRDH_1SDV_20181207T000324_20181207T000349_024912_02BE7D_6A7C.tif,33.97978308290287,35.88924205082733,-92.48191184245353,-89.3806579870877,2018,12,7
non_flood_WM4_S1A_IW_GRDH_1SDV_20181231T000324_20181231T000349_025262_02CB2C_DF4A.tif,33.97961141856224,35.8890703864867,-92.48270531055088,-89.38145145518506,2018,12,31
flood_WM_S1A_IW_GRDH_1SDV_20190617T000236_20190617T000301_027712_0320C9_5E5F.tif,30.968256535519615,32.88238674292149,-91.78044268714095,-88.7812374480511,2019,6,17
non_flood_WM1_S1A_IW_GRDH_1SDV_20181219T000234_20181219T000259_025087_02C4D5_CDFD.tif,30.968073058928173,32.88238292938687,-91.78148793560425,-88.78165387581552,2018,12,19
non_flood_WM2_S1A_IW_GRDH_1SDV_20190205T000232_20190205T000257_025787_02DE35_72D4.tif,30.968103949353996,32.88223415675587,-91.78075543829421,-88.78119087309071,2019,2,5
non_flood_WM3_S1A_IW_GRDH_1SDV_20190217T000232_20190217T000257_025962_02E467_799D.tif,30.96789376553472,32.88220363599341,-91.78191515156493,-88.78217092330462,2019,2,17
non_flood_WM4_S1A_IW_GRDH_1SDV_20190325T000232_20190325T000257_026487_02F77B_0433.tif,30.967825098360308,32.88213496881901,-91.7829679893072,-88.78331359257528,2019,3,25
flood_WM_S1A_IW_GRDH_1SDV_20190617T000301_20190617T000326_027712_0320C9_9D85.tif,32.47429849199553,34.38600324813029,-92.12815209401046,-89.0800785034645,2019,6,17
non_flood_WM1_S1A_IW_GRDH_1SDV_20181207T000259_20181207T000324_024912_02BE7D_E358.tif,32.47427178421223,34.38597654034698,-92.12976185807551,-89.0812391098875,2018,12,7
non_flood_WM2_S1A_IW_GRDH_1SDV_20181219T000259_20181219T000324_025087_02C4D5_16A4.tif,32.47410565930596,34.38590024696913,-92.1292659502485,-89.08065337053208,2018,12,19
non_flood_WM3_S1A_IW_GRDH_1SDV_20190205T000257_20190205T000322_025787_02DE35_8A91.tif,32.47404671946758,34.38575147560233,-92.12848777077748,-89.08005485411789,2019,2,5
non_flood_WM4_S1A_IW_GRDH_1SDV_20190217T000257_20190217T000322_025962_02E467_DF07.tif,32.47401238980829,34.38571714594304,-92.12967022725817,-89.08114747907017,2019,2,17
flood_WM_S1A_IW_GRDH_1SDV_20190617T000441_20190617T000506_027712_0320C9_42BF.tif,38.49238282731717,40.3948349360255,-93.58631060879156,-90.29120031511275,2019,6,17
non_flood_WM1_S1A_IW_GRDH_1SDV_20181207T000439_20181207T000504_024912_02BE7D_3B80.tif,38.49220144729018,40.394743387526916,-93.58818759246259,-90.2926281411417,2018,12,7
non_flood_WM2_S1A_IW_GRDH_1SDV_20181219T000439_20181219T000504_025087_02C4D5_A60D.tif,38.492037413699926,40.394579353936656,-93.58781372741633,-90.29207461303864,2018,12,19
non_flood_WM3_S1A_IW_GRDH_1SDV_20190112T000438_20190112T000503_025437_02D177_E563.tif,38.49199544702358,40.39453738726031,-93.58890485133651,-90.29316573695881,2019,1,12
non_flood_WM4_S1A_IW_GRDH_1SDV_20190124T000438_20190124T000503_025612_02D7DA_723B.tif,38.492073841878835,40.39452595058715,-93.58844727200527,-90.2928878206844,2019,1,24
flood_WM_S1A_IW_GRDH_1SDV_20190617T000416_20190617T000441_027712_0320C9_B9D7.tif,36.98964627787253,38.89362552256386,-93.20905288043205,-89.98014842319284,2019,6,17
non_flood_WM1_S1A_IW_GRDH_1SDV_20190112T000413_20190112T000438_025437_02D177_6C6F.tif,36.98926443419668,38.893423341944825,-93.2115476891549,-89.98210424274522,2019,1,12
non_flood_WM2_S1A_IW_GRDH_1SDV_20190205T000412_20190205T000437_025787_02DE35_7FFF.tif,36.989266528047615,38.89333560426735,-93.20954114612029,-89.98027736276744,2019,2,5
non_flood_WM3_S1A_IW_GRDH_1SDV_20190217T000412_20190217T000437_025962_02E467_43D4.tif,36.98921693698316,38.893286013202896,-93.21078481412069,-89.98152103076784,2019,2,17
non_flood_WM4_S1A_IW_GRDH_1SDV_20190301T000412_20190301T000437_026137_02EAA6_2A9D.tif,36.9890716050398,38.89332034431636,-93.21185296547354,-89.98240951906386,2019,3,1
flood_WM_S1A_IW_GRDH_1SDV_20190617T000351_20190617T000416_027712_0320C9_C310.tif,35.485031579995066,37.392065096652395,-92.83784557142803,-89.67954869552062,2019,6,17
non_flood_WM1_S1A_IW_GRDH_1SDV_20181219T000349_20181219T000414_025087_02C4D5_A4B3.tif,35.48480823593469,37.391931584120435,-92.83915025371658,-89.6802245571103,2018,12,19
non_flood_WM2_S1A_IW_GRDH_1SDV_20181231T000349_20181231T000414_025262_02CB2C_C2A6.tif,35.4847988835253,37.39183240018263,-92.84043191138392,-89.68159604630604,2018,12,31
non_flood_WM3_S1A_IW_GRDH_1SDV_20190112T000348_20190112T000413_025437_02D177_13B6.tif,35.48474338496593,37.39186673315167,-92.84020309193487,-89.6815468899138,2019,1,12
non_flood_WM4_S1A_IW_GRDH_1SDV_20190205T000347_20190205T000412_025787_02DE35_20FB.tif,35.48484294109163,37.39178662622055,-92.83827290788561,-89.67961670586455,2019,2,5
