latitude_dd,longitude_dd,eventName,hwmTypeName,hwmQualityName,verticalDatumName,elev_ft,waterbody
30.06707,-99.30192,2025 July TX Flood,Debris,Excellent: +/- 0.05 ft,NAVD88,1745.8,Guadalupe River
30.06657,-99.29401,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1737.4,Guadalupe River
30.07279,-99.27614,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1724.1,Guadalupe River
30.0692,-99.27699,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1725.8,Guadalupe River
30.07056,-99.26464,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1712.4,Guadalupe River
30.06956,-99.25484,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1706.5,Guadalupe River
30.07204,-99.25347,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1703.5,Guadalupe River
30.07433,-99.26343,2025 July TX Flood,Seed line,Excellent: +/- 0.05 ft,NAVD88,1714.1,Guadalupe River
30.07,-99.29479,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1739.5,Guadalupe River
30.07044,-99.30587,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1747.2,Guadalupe River
30.06973,-99.30771,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1749.7,Guadalupe River
30.070184,-99.321697,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1760.3,Guadalupe River
30.068978,-99.336795,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1773.5,Guadalupe River
30.072763,-99.243933,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1692.9,Guadalupe River
30.068697,-99.243131,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1693.7,Guadalupe River
30.067389,-99.229028,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1684.8,Guadalupe River
30.072044,-99.234439,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1688.1,Guadalupe River
30.069243,-99.225091,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1682.9,Guadalupe River
30.068498,-99.221379,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1677.8,Guadalupe River
30.069746,-99.208341,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1665.2,Guadalupe River
30.068831,-99.192738,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1655.6,Guadalupe River
30.065029,-99.189078,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1654.2,Guadalupe River
30.062671,-99.177812,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1644.5,Guadalupe River
30.051695,-99.166119,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1638.4,Guadalupe River
30.048183,-99.152919,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1627.0,Guadalupe River
30.040907,-99.142331,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1615.8,Guadalupe River
30.067273,-99.195644,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1656.3,Guadalupe River
30.068701,-99.200879,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1659.7,Guadalupe River
30.065409,-99.191888,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1655.1,Guadalupe River
30.029354,-99.137217,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1605.3,Guadalupe River
30.022156,-99.129375,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1600.1,Guadalupe River
30.018538,-99.126151,2025 July TX Flood,Debris,Excellent: +/- 0.05 ft,NAVD88,1594.9,Guadalupe River
30.010162,-99.118035,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1584.2,Guadalupe River
29.996505,-99.108415,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1575.0,Guadalupe River
29.98776,-99.110295,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1569.5,Guadalupe River
29.980715,-99.104514,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1561.5,Guadalupe River
29.97381,-99.095804,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1552.5,Guadalupe River
29.95748,-99.084672,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1537.9,Guadalupe River
29.954038,-99.08072,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1532.6,Guadalupe River
29.954404,-99.075788,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1532.5,Guadalupe River
29.94707,-99.048084,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1513.7,Guadalupe River
29.944552,-99.039523,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1510.2,Guadalupe River
29.947269,-99.035188,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1505.1,Guadalupe River
29.943855,-99.046669,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1512.6,Guadalupe River
29.951345,-99.033488,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1504.3,Guadalupe River
29.980291,-99.097309,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1556.8,Guadalupe River
29.984196,-99.105373,2025 July TX Flood,Debris,Excellent: +/- 0.05 ft,NAVD88,1562.9,Guadalupe River
30.047914,-99.144519,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1619.8,Guadalupe River
30.050942,-99.147401,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1625.3,Guadalupe River
30.052813,-99.150235,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1625.6,Guadalupe River
30.051831,-99.158394,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1632.3,Guadalupe River
30.053621,-99.163852,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1637.4,Guadalupe River
30.062171,-99.172015,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1643.7,Guadalupe River
30.066216,-99.179515,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1646.6,Guadalupe River
30.073533,-99.246484,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1695.2,Guadalupe River
30.082069,-99.343681,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1776.5,Guadalupe River
29.944681,-99.025283,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1500.1,Guadalupe River
29.940426,-99.023784,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1494.5,Guadalupe River
